index,voted
0,0.6958340115043622
1,0.8393500353112469
2,0.48207893725239226
3,0.035688772033629634
4,0.7156586637068668
5,0.46169395884077835
6,0.8321317722598238
7,0.6091890791965344
8,0.2565044394165189
9,0.4830347512600438
10,0.47740112743854013
11,0.6448441763439343
12,0.4504155526391743
13,0.6437606403729517
14,0.5147769892893993
15,0.8992129361560569
16,0.7209693920978927
17,0.3871047634143805
18,0.538797730149848
19,0.48007281712613026
20,0.5399388195018548
21,0.6153222326318217
22,0.1362054693509246
23,0.37974916234563716
24,0.614191902142514
25,0.09455326990642998
26,0.8819522691055504
27,0.5968136553380171
28,0.599033292225714
29,0.3081785983683376
30,0.6116697860059941
31,0.6754772759723944
32,0.30790769040994814
33,0.43760162844263384
34,0.6106247106284053
35,0.10943148028252558
36,0.2702998011126624
37,0.47006335160076274
38,0.5015398170564856
39,0.38883656952672463
40,0.49173376852151696
41,0.91592108811806
42,0.8132328421243773
43,0.6326398769704294
44,0.805210940612288
45,0.3335274158276139
46,0.7041223075292822
47,0.8010281759011102
48,0.5558610415887858
49,0.8654643127983566
50,0.059240805765441884
51,0.9229276803705896
52,0.4637289415195922
53,0.7780347750488334
54,0.889206087417272
55,0.6250098041695618
56,0.6755300544665288
57,0.5776467727450091
58,0.7898222900848244
59,0.2781628069022464
60,1.0518868359418416
61,0.6749600311408211
62,0.6419353934069627
63,0.4596053304876532
64,0.23239152925726803
65,0.714895398977551
66,0.4406383153847523
67,0.3158444743821819
68,0.5712054136408932
69,0.5277745247508424
70,0.34864770345099116
71,0.6619382925335424
72,0.35278475042108814
73,0.705553914957765
74,0.8852337870058861
75,0.5707163079619219
76,0.6055645085785255
77,0.23479579052535515
78,0.7000335253212563
79,0.335465131400112
80,1.0168168806252216
81,0.4171472030727229
82,0.5105385817480887
83,0.37166573266036707
84,0.7012482900326692
85,0.5106565228992118
86,0.6679778110378877
87,0.3735914848665959
88,0.3201931831913972
89,0.7096762905922795
90,0.7580784790576547
91,0.3829145172623497
92,0.33087013556758527
93,0.16915571942070262
94,0.6513984777811272
95,0.7519271628570787
96,0.5509545445557953
97,0.9303029316755907
98,0.6312700628595791
99,0.633962527677103
100,0.36237492059769894
101,0.5123017837701426
102,0.7030601503940321
103,0.3491973489919934
104,0.16962789623518837
105,0.4866370625545945
106,0.3319561272793017
107,0.6751551189486298
108,0.6926799252789275
109,0.2535487957293683
110,0.7585403772690902
111,0.3785041732393023
